sample_alias	file_stable_id	archive_ebi_fullpath
gonl-8b	EGAF00000513650	/fire/A/ega/vol1/EGAR00001189676/fastq/110105_I114_FC812R2ABXX_L6_HUMrutRIYDIABPE_2.fq.gz.gpg
gonl-8c	EGAF00000513651	/fire/A/ega/vol1/EGAR00001189677/fastq/110101_I315_FC816RLABXX_L4_HUMrutRIZDIAAPE_1.fq.gz.gpg
gonl-8c	EGAF00000513652	/fire/A/ega/vol1/EGAR00001189677/fastq/110101_I315_FC816RLABXX_L4_HUMrutRIZDIAAPE_2.fq.gz.gpg
gonl-8c	EGAF00000513653	/fire/A/ega/vol1/EGAR00001189677/fastq/110122_I168_FC8199PABXX_L3_HUMrutRIZDIAAPE_1.fq.gz.gpg
gonl-8c	EGAF00000513654	/fire/A/ega/vol1/EGAR00001189677/fastq/110122_I168_FC8199PABXX_L3_HUMrutRIZDIAAPE_2.fq.gz.gpg
gonl-8c	EGAF00000513655	/fire/A/ega/vol1/EGAR00001189677/fastq/110105_I114_FC812R2ABXX_L7_HUMrutRIZDIABPE_1.fq.gz.gpg
gonl-8c	EGAF00000513656	/fire/A/ega/vol1/EGAR00001189677/fastq/110105_I114_FC812R2ABXX_L7_HUMrutRIZDIABPE_2.fq.gz.gpg
gonl-8d	EGAF00000513657	/fire/A/ega/vol1/EGAR00001189678/fastq/110525_I128_FCB05YYABXX_L3_HUMsnrRAEDIABPE_1.fq.gz.gpg
gonl-8d	EGAF00000513658	/fire/A/ega/vol1/EGAR00001189678/fastq/110525_I128_FCB05YYABXX_L3_HUMsnrRAEDIABPE_2.fq.gz.gpg
gonl-8d	EGAF00000513659	/fire/A/ega/vol1/EGAR00001189678/fastq/110526_I481_FCB062CABXX_L1_HUMsnrRAEDIAAPE_1.fq.gz.gpg
